AverageDiscountedReturn,dLoss,AverageReturn,Entropy,ExplainedVariance,Perplexity,AveragePolicyStd,MeanKLBefore,LossAfter,MinReturn,StdReturn,Iteration,MaxReturn,LossBefore,MeanKL,NumTrajs
624.171156691,0.0399038825475,981.994095128,0.557755339371,0.94134430913,1.74674724175,0.422661695637,0.0,-0.0399038825475,269.871955047,112.596405544,11,999.860563224,-3.64929315939e-17,0.497906177947,41
523.269038726,0.0523875230809,803.183315748,0.584331974622,0.649472477016,1.79379228653,0.434045219209,0.0,-0.0523875230809,39.9818135257,337.510326613,12,999.846630716,-4.10174140018e-18,0.392965016393,50
618.636935837,0.0130154942229,975.681547867,0.461616864756,0.94595402751,1.58663729009,0.383919774633,0.0,-0.0130154942229,9.98167620269,152.690561179,13,999.886463743,4.75215402594e-17,0.410440526284,41
359.300825022,0.112430831854,523.566935297,0.459994683002,0.0268546291172,1.5840655625,0.383297491844,0.0,-0.112430831854,49.9598295721,410.680436795,14,999.859587034,1.6789882114e-16,0.347384424021,76
410.606706576,0.084285792786,612.848585905,0.447909152753,0.394954364128,1.56503650994,0.378693018208,0.0,-0.084285792786,0.0,414.160883364,15,999.808553242,-7.94076264609e-17,0.455795873414,66
626.132872883,0.00385694471287,981.731923476,0.298753686591,0.773989767965,1.34817750837,0.326219488482,0.0,-0.00385694471287,659.790600997,68.9721930616,16,999.834535707,5.44502530816e-17,0.362869037119,41
318.111868473,0.0161918300887,449.742180405,0.259946338006,0.115779591689,1.29686049268,0.313802273014,0.0,-0.0161918300887,0.0,379.40278048,17,999.843604499,3.81281840605e-16,0.37572463929,89
616.160858134,0.0350370288853,969.847318559,0.143917034666,0.640999396283,1.15478829715,0.279424960929,0.0,-0.0350370288853,0.0,156.564647492,18,999.89048503,-8.35663454257e-17,0.329443464393,42
547.776934414,0.0690306914803,855.992678621,0.0554197982501,0.835510178368,1.05698424169,0.255759242766,0.0,-0.0690306914803,9.98137373431,328.376807162,19,999.853954289,1.35335966419e-17,0.432811459448,47
568.558133882,0.0714778922388,888.089001888,0.00966800445316,0.859328671044,1.00971489058,0.244321443633,0.0,-0.0714778922388,89.9394872395,288.849806003,20,999.867883219,3.16917700131e-17,0.417666505334,46
435.024656472,0.061349519911,668.527678113,-0.0054734015372,0.723473036555,0.994541550234,0.240649939474,0.0,-0.061349519911,49.9452324084,435.971254751,21,999.868385076,1.00275101394e-16,0.476631770303,60
399.705292903,0.0826750706225,614.812580782,0.0133597658544,0.821087023946,1.01344940627,0.245225087099,0.0,-0.0826750706225,19.9603894323,457.270637334,22,999.885410982,1.12884629852e-16,0.369813467185,65
452.212181699,0.0114277003277,703.198682634,-0.0646435514964,0.872586436691,0.937401539209,0.226823729608,0.0,-0.0114277003277,0.0,436.872881555,23,999.869575663,-9.34605426739e-18,0.412200453072,57
289.178673489,0.110221876209,432.849886511,-0.0759152781736,0.687782260424,0.926894731447,0.224281389721,0.0,-0.110221876209,0.0,451.639367839,24,999.893034661,-4.38759260165e-17,0.444049253328,92
379.035332486,0.0095151830393,577.15078274,-0.0436355556959,0.791136475175,0.957302777451,0.231639246644,0.0,-0.0095151830393,39.9849810251,455.231411077,25,999.906038575,1.87064975382e-17,0.0720339762509,69
442.724360037,0.023074631189,680.39935925,-0.0660875123385,0.809496220324,0.936048944875,0.226496441377,0.0,-0.023074631189,39.9388414724,430.54488966,26,999.911232515,3.51827365831e-17,0.387760458616,59
248.542522027,0.0584662128469,343.261295205,0.049275356177,0.0925067956718,1.05050957522,0.25419256303,0.0,-0.0584662128469,29.9539174041,367.072736605,27,999.940974911,-8.56356828889e-17,0.386059097243,114
249.091702561,0.0614369684284,327.083982929,0.0695774507241,0.284622868579,1.07205508943,0.259405946714,0.0,-0.0614369684284,29.9416951083,300.994444561,28,969.812746428,8.85489298187e-17,0.343882515813,120
279.638868992,0.110143402425,405.690585189,0.0177102231162,0.4064242142,1.01786797904,0.246294252353,0.0,-0.110143402425,39.9426482369,421.338218738,29,999.948782481,-6.09875267383e-17,0.345323350215,99
