StdReturn,LossBefore,MeanKL,AverageDiscountedReturn,Iteration,LossAfter,Perplexity,MaxReturn,AveragePolicyStd,MinReturn,MeanKLBefore,NumTrajs,AverageReturn,dLoss,Entropy,ExplainedVariance
318.878227271,5.48708999164e-17,0.318596265498,394.311189347,16,-0.0718680458018,1.67620293508,999.838233833,0.405592038642,9.98240554788,0.0,73,549.536123955,0.0718680458018,0.516531077713,-0.925110545932
142.152908146,-4.04179411365e-17,0.255218192133,519.736115883,17,-0.304642389101,1.54298506289,999.842759874,0.373357213591,529.779458144,0.0,54,739.625833368,0.304642389101,0.433718892773,0.72257633181
217.584564763,-1.15418414291e-16,0.274599555698,418.076956617,18,-0.0789825925284,1.84620601287,999.878137924,0.446727806546,59.8933110095,0.0,71,562.734614137,0.0789825925284,0.613132729459,0.335554964928
172.862079024,-7.74915198598e-17,0.202487690639,376.936928526,19,-0.0461975770924,1.87720483008,999.697008815,0.454228612806,0.0,0.0,81,485.360972367,0.0461975770924,0.629783877961,0.344335887527
128.460101801,-4.88808837928e-17,0.30242476587,245.565322772,20,-0.0790731527783,1.77513407503,639.66338778,0.429530478253,59.913825579,0.0,134,288.502561566,0.0790731527783,0.573875955301,0.0613964129131
119.278701938,-1.0695917171e-16,0.243940945349,352.289190968,21,-0.0330469908153,1.75295566945,819.669285297,0.424163953387,99.8906735609,0.0,90,439.153057391,0.0330469908153,0.561303317228,0.136775085007
214.918465308,2.12430557673e-17,0.287187287151,457.520492169,22,-0.0604422059142,1.50995679425,999.802561093,0.365365339498,49.9121970269,0.0,63,631.471571072,0.0604422059142,0.412081037341,0.334434394116
190.302179785,1.19965159832e-16,0.358592172094,511.348925538,23,-0.0906558481651,1.60765134657,999.925495374,0.389004561105,219.913717757,0.0,55,731.195062419,0.0906558481651,0.474774322977,0.658904911231
184.238252315,-2.51184172279e-17,0.318533682135,551.677245191,24,-0.0562659591254,1.58923659204,999.928481314,0.384548729608,389.885307336,0.0,49,815.932669069,0.0562659591254,0.463253770139,0.74829119756
249.145143945,1.03179633294e-16,0.219915623944,541.806020284,25,-0.0507412429709,1.65203395262,999.949115621,0.399743852445,59.9561279878,0.0,50,812.644099685,0.0507412429709,0.502007227318,0.762042776399
80.9268423556,-3.24008888626e-17,0.268465461808,618.994436936,26,-0.0337895569214,1.58368342035,999.945807227,0.383205024632,709.819043063,0.0,42,963.669232697,0.0337895569214,0.45975341253,0.907836449156
0.0317750445815,6.3615779311e-17,0.278215443588,633.908059645,27,-0.0625390109181,1.66602550633,999.944516118,0.403129398834,999.798539856,0.0,40,999.90963566,0.0625390109181,0.51044085355,0.991649169011
229.564694039,-1.7855792262e-16,0.241208761192,584.173522327,28,-0.0379426372951,1.88856913454,999.939786233,0.45697844179,189.916455024,0.0,45,904.73099453,0.0379426372951,0.635819470678,0.772649448015
224.430136726,2.19796190798e-16,0.286652752185,565.076068554,29,-0.0781251111099,1.78991394464,999.925926199,0.433106774012,0.0,0.0,47,857.463995755,0.0781251111099,0.582167543078,0.82505469318
